country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Egypt,Africa,211307,12487.0,159999.0,38821.0,90.0,2035,120.0,2677262.0,25785.0,103831623
El Salvador,North America,66657,2054.0,63072.0,1531.0,60.0,10236,315.0,873873.0,134200.0,6511733
Equatorial Guinea,Africa,7219,106.0,6799.0,314.0,11.0,5018,74.0,115364.0,80196.0,1438522
Eritrea,Africa,3466,10.0,3196.0,260.0,,967,3.0,23693.0,6610.0,3584575
Estonia,Europe,114443,1037.0,95246.0,18160.0,72.0,86227,781.0,1198522.0,903024.0,1327232
Ethiopia,Africa,230944,3208.0,171980.0,55756.0,983.0,1971,27.0,2453287.0,20938.0,117166929
Faeroe Islands,Europe,661,1.0,660.0,0.0,,13488,20.0,246793.0,5035770.0,49008
Falkland Islands Malvinas,South America,60,,54.0,6.0,,16863,,7165.0,2013772.0,3558
Fiji,Australia/Oceania,68,2.0,64.0,2.0,,75,2.0,40300.0,44703.0,901508
Finland,Europe,82278,874.0,46000.0,35404.0,42.0,14832,158.0,4148800.0,747876.0,5547442
France,Europe,5067216,99135.0,310934.0,4657147.0,5916.0,77497,1516.0,70140847.0,1072715.0,65386285
French Guiana,South America,17706,94.0,9995.0,7617.0,9.0,58116,309.0,171169.0,561820.0,304669
French Polynesia,Australia/Oceania,18666,141.0,4842.0,13683.0,2.0,66151,500.0,26355.0,93400.0,282174
Gabon,Africa,20971,129.0,17762.0,3080.0,20.0,9253,57.0,669004.0,295185.0,2266390
Gambia,Africa,5602,168.0,5145.0,289.0,3.0,2269,68.0,59297.0,24015.0,2469123
Georgia,Asia,290129,3894.0,278251.0,7984.0,,72839,978.0,3722612.0,934583.0,3983180
Germany,Europe,3021064,79110.0,2700200.0,241754.0,4662.0,35968,942.0,51559277.0,613852.0,83993045
Ghana,Africa,91260,754.0,89092.0,1414.0,10.0,2890,24.0,1025654.0,32482.0,31575645
Gibraltar,Europe,4277,94.0,4181.0,2.0,,126978,2791.0,219808.0,6525785.0,33683
Greece,Europe,297086,8961.0,254804.0,33321.0,781.0,28612,863.0,7109471.0,684709.0,10383207
Greenland,North America,31,,31.0,0.0,,545,,20669.0,363590.0,56847
Grenada,North America,155,1.0,152.0,2.0,,1373,9.0,23989.0,212424.0,112930
Guadeloupe,North America,12140,174.0,2242.0,9724.0,13.0,30337,435.0,159029.0,397397.0,400177
Guatemala,North America,203309,7020.0,186127.0,10162.0,5.0,11188,386.0,1108633.0,61005.0,18172684
Guinea Bissau,Africa,3680,66.0,3069.0,545.0,9.0,1836,33.0,60281.0,30080.0,2004008
Guinea,Africa,21032,136.0,18613.0,2283.0,24.0,1569,10.0,414630.0,30924.0,13408133
Guyana,South America,11189,257.0,9751.0,1181.0,17.0,14172,326.0,99746.0,126339.0,789513
Haiti,North America,12855,251.0,11513.0,1091.0,,1117,22.0,60085.0,5220.0,11510653
Holy See,Europe,27,,15.0,12.0,,33624,,,,803
Honduras,North America,196086,4861.0,75952.0,115273.0,536.0,19556,485.0,542768.0,54131.0,10026957
Hungary,Europe,728078,23980.0,431124.0,272974.0,1209.0,75518,2487.0,4976613.0,516184.0,9641167
Iceland,Europe,6267,29.0,6140.0,98.0,,18273,85.0,562645.0,1640513.0,342969
India,Asia,13689453,171089.0,12253697.0,1264667.0,8944.0,9845,123.0,259207108.0,186404.0,1390568032
Indonesia,Asia,1571824,42656.0,1419796.0,109372.0,,5700,155.0,13433306.0,48711.0,275774906
Iran,Asia,2093452,64764.0,1720084.0,308604.0,4440.0,24678,763.0,13770167.0,162329.0,84829001
Iraq,Asia,932899,14757.0,820532.0,97610.0,451.0,22797,361.0,8552580.0,208999.0,40921569
Ireland,Europe,241330,4785.0,23364.0,213181.0,46.0,48453,961.0,4196113.0,842473.0,4980708
Isle Of Man,Europe,1574,29.0,1445.0,100.0,,18434,340.0,44761.0,524232.0,85384
Israel,Asia,836158,6304.0,826494.0,3360.0,250.0,90911,685.0,13778191.0,1498022.0,9197590
Italy,Europe,3779594,114612.0,3140565.0,524417.0,3593.0,62584,1898.0,53245501.0,881660.0,60392321
Jamaica,North America,42763,676.0,19017.0,23070.0,49.0,14392,228.0,305709.0,102889.0,2971251
Japan,Asia,506286,9400.0,465916.0,30970.0,563.0,4013,75.0,10454733.0,82860.0,126173611
Jordan,Asia,669300,7855.0,604044.0,57401.0,729.0,65094,764.0,6348440.0,617433.0,10281995
Kazakhstan,Asia,273825,3260.0,235862.0,34703.0,221.0,14449,172.0,9258849.0,488557.0,18951428
Kenya,Africa,146156,2368.0,99210.0,44578.0,248.0,2673,43.0,1564827.0,28613.0,54688827
Kuwait,Asia,248729,1412.0,232556.0,14761.0,228.0,57581,327.0,2169047.0,502135.0,4319647
Kyrgyzstan,Asia,90599,1532.0,86152.0,2915.0,25.0,13711,232.0,908302.0,137460.0,6607775
Laos,Asia,52,,49.0,3.0,,7,,143481.0,19501.0,7357605
Latvia,Europe,107818,1990.0,99324.0,6504.0,94.0,57661,1064.0,2029340.0,1085299.0,1869845
Lebanon,Asia,497854,6703.0,406095.0,85056.0,827.0,73197,986.0,3719848.0,546914.0,6801526
Lesotho,Africa,10709,315.0,5028.0,5366.0,,4968,146.0,71629.0,33231.0,2155481
Liberia,Africa,2042,85.0,1899.0,58.0,2.0,397,17.0,79684.0,15473.0,5149709
Libya,Africa,168676,2828.0,153644.0,12204.0,,24291,407.0,915250.0,131806.0,6943932
Liechtenstein,Europe,2754,56.0,2625.0,73.0,5.0,72070,1465.0,32252.0,844006.0,38213
Lithuania,Europe,226783,3697.0,205965.0,17121.0,150.0,84228,1373.0,2499215.0,928222.0,2692476
Luxembourg,Europe,63880,772.0,59988.0,3120.0,30.0,100775,1218.0,2510240.0,3960075.0,633887
Macedonia,Europe,142034,4262.0,117794.0,19978.0,124.0,68177,2046.0,670333.0,321764.0,2083307
Madagascar,Africa,28541,506.0,24105.0,3930.0,246.0,1011,18.0,155563.0,5508.0,28241598
Malawi,Africa,33859,1132.0,31572.0,1155.0,21.0,1735,58.0,224636.0,11513.0,19512250
Malaysia,Asia,362173,1333.0,345005.0,15835.0,188.0,11080,41.0,8240262.0,252085.0,32688487
Maldives,Asia,25701,67.0,22796.0,2838.0,82.0,46905,122.0,670883.0,1224389.0,547933
Mali,Africa,12002,414.0,7166.0,4422.0,,580,20.0,243860.0,11780.0,20701344
Malta,Europe,29661,402.0,28706.0,553.0,,67036,909.0,834763.0,1886636.0,442461
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59501
Martinique,North America,9028,57.0,98.0,8873.0,5.0,24072,152.0,133358.0,355585.0,375038
Mauritania,Africa,18035,450.0,17373.0,212.0,14.0,3802,95.0,215922.0,45513.0,4744159
Mauritius,Africa,1193,15.0,797.0,381.0,,937,12.0,358675.0,281664.0,1273416
Mayotte,Africa,19706,167.0,2964.0,16575.0,8.0,70908,601.0,165683.0,596177.0,277909
Mexico,North America,2281840,209702.0,1812694.0,259444.0,4798.0,17554,1613.0,6279527.0,48309.0,129987170
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,115962
Moldova,Europe,241820,5409.0,223822.0,12589.0,303.0,60055,1343.0,905532.0,224886.0,4026631
Monaco,Europe,2377,31.0,2247.0,99.0,6.0,60240,786.0,51953.0,1316632.0,39459
Mongolia,Asia,16603,27.0,9887.0,6689.0,88.0,5002,8.0,2492932.0,751044.0,3319290
Montenegro,Europe,94419,1381.0,88834.0,4204.0,69.0,150318,2199.0,353329.0,562511.0,628128
Montserrat,North America,20,1.0,19.0,0.0,,4005,200.0,1313.0,262915.0,4994
Morocco,Africa,502277,8909.0,488632.0,4736.0,240.0,13484,239.0,6106431.0,163927.0,37250917
Mozambique,Africa,68792,791.0,59401.0,8600.0,68.0,2154,25.0,496890.0,15561.0,31932011
Myanmar,Asia,142596,3206.0,131869.0,7521.0,,2607,59.0,2555312.0,46720.0,54694134
Namibia,Africa,45787,575.0,43721.0,1491.0,32.0,17770,223.0,363659.0,141138.0,2576611
Nepal,Asia,280524,3053.0,274165.0,3306.0,,9495,103.0,2317284.0,78436.0,29543475
Netherlands,Europe,1357340,16791.0,,,789.0,79078,978.0,11292587.0,657905.0,17164474
New Caledonia,Australia/Oceania,121,,58.0,63.0,,421,,29182.0,101455.0,287635
New Zealand,Australia/Oceania,2587,26.0,2459.0,102.0,,517,5.0,1948223.0,389481.0,5002100
Nicaragua,North America,6727,179.0,4225.0,2323.0,,1006,27.0,,,6685869
Niger,Africa,5081,189.0,4760.0,132.0,1.0,204,8.0,93751.0,3768.0,24881206
Nigeria,Africa,163837,2061.0,154177.0,7599.0,11.0,780,10.0,1838174.0,8749.0,210092733
Norway,Europe,104269,687.0,88952.0,14630.0,56.0,19117,126.0,4878675.0,894469.0,5454272
Oman,Asia,173029,1789.0,153986.0,17254.0,234.0,33230,344.0,1550000.0,297671.0,5207086
Pakistan,Asia,729920,15619.0,638267.0,76034.0,4198.0,3255,70.0,10829994.0,48301.0,224218687
Panama,North America,358792,6167.0,348554.0,4071.0,105.0,82150,1412.0,2243777.0,513741.0,4367524
Papua New Guinea,Australia/Oceania,8602,69.0,846.0,7687.0,,948,8.0,70260.0,7739.0,9078488
Paraguay,South America,237542,4889.0,194987.0,37666.0,446.0,32989,679.0,981681.0,136332.0,7200687
Peru,South America,1653320,55230.0,1575242.0,22848.0,2073.0,49606,1657.0,10026470.0,300834.0,33328876
Philippines,Asia,876225,15149.0,703625.0,157451.0,751.0,7914,137.0,10814501.0,97679.0,110715077
Poland,Europe,2586647,58481.0,2197782.0,330384.0,3483.0,68404,1547.0,13062929.0,345450.0,37814209
Portugal,Europe,827765,16918.0,785063.0,25784.0,119.0,81365,1663.0,9530238.0,936775.0,10173455
Qatar,Asia,190998,335.0,170194.0,20469.0,473.0,68024,119.0,1808736.0,644181.0,2807805
Reunion,Africa,17508,123.0,16011.0,1374.0,54.0,19447,137.0,100098.0,111184.0,900292
Romania,Europe,1008490,25248.0,910298.0,72944.0,1529.0,52698,1319.0,7700501.0,402384.0,19137193
Russia,Europe,4649710,103263.0,4272165.0,274282.0,2300.0,31851,707.0,123900000.0,848727.0,145983351
Rwanda,Africa,23535,316.0,21272.0,1947.0,8.0,1783,24.0,1224739.0,92779.0,13200639
Saint Barthelemy,North America,907,1.0,462.0,444.0,,91607,101.0,26385.0,2664882.0,9901
Saint Kitts And Nevis,North America,44,,44.0,0.0,,823,,12381.0,231455.0,53492
Saint Lucia,North America,4355,64.0,4179.0,112.0,1.0,23632,347.0,37758.0,204893.0,184282
Saint Martin,North America,1693,12.0,1399.0,282.0,7.0,43213,306.0,26385.0,673465.0,39178
Saint Pierre And Miquelon,North America,24,,24.0,0.0,,4158,,5126.0,888080.0,5772
Saint Vincent And The Grenadines,North America,1806,10.0,1665.0,131.0,2.0,16239,90.0,43985.0,395495.0,111215
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199442
San Marino,Europe,4962,86.0,4510.0,366.0,8.0,145997,2530.0,56114.0,1651043.0,33987
Sao Tome And Principe,Africa,2267,35.0,2188.0,44.0,,10197,157.0,12597.0,56663.0,222316
Saudi Arabia,Asia,399277,6765.0,384027.0,8485.0,950.0,11332,192.0,15857235.0,450042.0,35235026
Senegal,Africa,39465,1079.0,38215.0,171.0,17.0,2310,63.0,455488.0,26660.0,17085094
Serbia,Europe,645173,5773.0,560934.0,78466.0,254.0,74074,663.0,3601063.0,413448.0,8709834
Seychelles,Africa,4444,25.0,4161.0,258.0,,44970,253.0,21504.0,217603.0,98822
Sierra Leone,Africa,4008,79.0,2831.0,1098.0,,495,10.0,118332.0,14604.0,8102739
Singapore,Asia,60678,30.0,60357.0,291.0,1.0,10309,5.0,8789647.0,1493265.0,5886193
Sint Maarten,North America,2185,27.0,2118.0,40.0,1.0,50514,624.0,25304.0,584996.0,43255
Slovakia,Europe,371168,10630.0,255300.0,105238.0,507.0,67958,1946.0,2441472.0,447016.0,5461708
Slovenia,Europe,226786,4126.0,208842.0,13818.0,142.0,109076,1984.0,1105344.0,531630.0,2079161
Solomon Islands,Australia/Oceania,19,,18.0,1.0,,27,,4500.0,6429.0,699918
Somalia,Africa,12566,618.0,5270.0,6678.0,,774,38.0,100631.0,6198.0,16235833
South Africa,Africa,1559113,53356.0,1484356.0,21401.0,546.0,26033,891.0,10154978.0,169560.0,59890253
South Korea,Asia,110688,1775.0,101332.0,7581.0,101.0,2158,35.0,8200519.0,159843.0,51303652
South Sudan,Africa,10381,114.0,10148.0,119.0,,919,10.0,139846.0,12380.0,11295828
Spain,Europe,3370256,76525.0,3111026.0,182705.0,2163.0,72062,1636.0,44285495.0,946900.0,46768927
Sri Lanka,Asia,95394,598.0,91775.0,3021.0,,4440,28.0,2374627.0,110534.0,21483302
State Of Palestine,Asia,270856,2883.0,234698.0,33275.0,186.0,52156,555.0,1636553.0,315132.0,5193231
Sudan,Africa,30111,2063.0,24214.0,3834.0,,675,46.0,232965.0,5219.0,44641909
Suriname,South America,9316,182.0,8700.0,434.0,10.0,15770,308.0,46195.0,78200.0,590726
Swaziland,Africa,18393,669.0,17682.0,42.0,3.0,15727,572.0,173720.0,148540.0,1169515
Sweden,Europe,857401,13621.0,,,376.0,84487,1342.0,7847033.0,773231.0,10148363
Switzerland,Europe,623126,10466.0,560294.0,52366.0,193.0,71591,1202.0,6412371.0,736720.0,8703948
Syria,Asia,20331,1385.0,14122.0,4824.0,,1140,78.0,103566.0,5809.0,17829667
Taiwan,Asia,1062,11.0,1027.0,24.0,,45,,513203.0,21518.0,23850438
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1371,9.0,,,9703563
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,61048540
Thailand,Asia,34575,97.0,28288.0,6190.0,1.0,494,1.0,8124896.0,116175.0,69936717
Timor Leste,Asia,1046,1.0,550.0,495.0,,782,,50556.0,37787.0,1337923
Togo,Africa,12034,116.0,9303.0,2615.0,,1428,14.0,292368.0,34686.0,8428939
Trinidad And Tobago,North America,8441,146.0,7775.0,520.0,14.0,6016,104.0,117847.0,83995.0,1403025
Tunisia,Africa,272940,9332.0,226070.0,37538.0,415.0,22907,783.0,1186045.0,99543.0,11914881
Turkey,Asia,3903573,34182.0,3372629.0,496762.0,2891.0,45900,402.0,41892922.0,492595.0,85045404
Turks And Caicos Islands,North America,2357,17.0,2283.0,57.0,2.0,60244,435.0,41059.0,1049458.0,39124
Uganda,Africa,41174,337.0,40779.0,58.0,24.0,879,7.0,969637.0,20694.0,46855361
UK,Europe,4373343,127100.0,3981812.0,264431.0,406.0,64159,1865.0,136821861.0,2007241.0,68164143
Ukraine,Europe,1872785,37758.0,1430234.0,404793.0,177.0,43025,867.0,8677716.0,199359.0,43528048
United Arab Emirates,Asia,485675,1533.0,470175.0,13967.0,,48648,154.0,40403698.0,4047105.0,9983359
Uruguay,South America,147173,1533.0,113125.0,32515.0,494.0,42253,440.0,1532512.0,439982.0,3483126
USA,North America,31990143,576298.0,24560856.0,6852989.0,9321.0,96206,1733.0,420822699.0,1265571.0,332516170
Uzbekistan,Asia,85291,634.0,83089.0,1568.0,23.0,2520,19.0,1377915.0,40711.0,33846159
Vanuatu,Australia/Oceania,3,,1.0,2.0,,10,,470.0,1503.0,312702
Venezuela,South America,175812,1795.0,158399.0,15618.0,237.0,6196,63.0,3359014.0,118388.0,28372923
Viet Nam,Asia,2707,35.0,2445.0,227.0,,28,,2598753.0,26512.0,98020700
Wallis And Futuna Islands,Australia/Oceania,437,5.0,44.0,388.0,3.0,39426,451.0,1331.0,120083.0,11084
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,608703
Yemen,Asia,5446,1068.0,2059.0,2319.0,23.0,180,35.0,22934.0,756.0,30334834
Zambia,Africa,90064,1227.0,88077.0,760.0,57.0,4795,65.0,1308716.0,69680.0,18781755
Zimbabwe,Africa,37307,1542.0,34901.0,864.0,12.0,2482,103.0,394257.0,26229.0,15031062
